batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,hidden_units,num_layers,time_horizon,max_steps
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
1024,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0
